Attacker,Fast Move,Charged Move,Level,"Arceus (Dragon), Tier 5","Kyurem (Black), Tier 5","Kyurem (White), Tier 5","Kyurem, Tier 5","Giratina, Tier 5","Giratina (Origin), Tier 5","Latias, Tier 5","Latios, Tier 5","Palkia, Tier 5","Reshiram, Tier 5","Zekrom, Tier 5","Mega Ampharos, Mega Tier","Mega Charizard X, Mega Tier","Mega Latias, Mega Tier","Mega Latios, Mega Tier","Druddigon, Tier 3"
(Battle settings),,,,"Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,Best Friend,No Dodging,Realistic Dodging","Extreme,No Friend,No Dodging,Realistic Dodging"
(Boss weights),,,,6.25,2.083333333333333,2.083333333333333,2.083333333333333,3.125,3.125,6.25,6.25,6.25,6.25,6.25,8.75,8.75,8.75,8.75,15.0
Shadow Salamence,Dragon Tail,Outrage or Draco Meteor,40,1.062505322754204,1.154719743007932,1.1349087979497459,1.045041947824473,0.9999999999999999,1.0052285368221827,1.0073971198342635,0.9999999999999999,1.0,1.0,1.0523952685035212,1.0038975806610462,1.0,1.0,1.0,0.9999999999999999
Kingdra,Dragon Breath,Outrage,40,1.611086501134091,1.7596776957365534,1.4879030189229823,1.5250187390796122,1.713233245072871,1.6713086561350812,1.5925835022801165,1.716733461792083,1.689886357347882,1.6924087487923745,1.6890720854280141,1.5691847631301024,1.7150087450738793,1.6738157195950976,1.7968625700729686,1.6688608055916139
Kyurem,Dragon Breath,Dragon Claw or Draco Meteor,40,1.2873259973023852,1.165395118366624,1.2312271455667696,1.2402061051695796,1.417423390103074,1.2831906612171757,1.2644578537639215,1.3038593194571109,1.352010311603592,1.305196016353526,1.185535529118731,1.325951744606574,1.353739254165698,1.1057286495031098,1.3004807406568437,1.4035204061704183
Haxorus,Dragon Tail,Dragon Claw,40,1.1749097897585468,1.2186265441503963,1.1612366482913492,1.1327733343702757,1.2134900147610286,1.151886916479092,1.148129790151245,1.2001698947129091,1.2113366265790564,1.1641203653824141,1.2019546713955134,1.109372639329122,1.2055679358268323,1.131519427104258,1.1934046015190372,1.2152759558301611
Rayquaza,Dragon Tail,Outrage,40,1.1140839060233032,1.2868573432569455,1.1523799567365944,1.1862030746914254,1.1591791276261045,1.0964025924387146,1.0934453082458446,1.1113386301424164,1.1599966899106,1.139178836492615,1.0996041418554736,1.0934322541949013,1.1465817228704371,1.0817424973790517,1.1468866687823591,1.1405754939119197
Dragalge,Dragon Tail,Outrage,40,1.7167615166790169,1.9688313560431576,1.8008755701317567,1.8086018659375416,1.8116099008789412,1.7804677282898573,1.7765505412505076,1.8661728388143628,1.8252405773180522,1.762258274766674,1.7498325274333055,1.675214461462207,1.8289273657408232,1.8737984113707902,1.996106079176988,1.8201810024265757
Mega Rayquaza,Dragon Tail,Outrage,40,0.7835399442504998,0.7887903592235631,0.8045853627592157,0.7975043455973958,0.8232883755779161,0.790934595120909,0.7882161614226649,0.7951535385072458,0.8371529098662451,0.8008112514408969,0.7400736917507388,0.774099589794778,0.8130076211196474,0.7051620158376735,0.7802231793924074,0.8150523634599879
Altaria,Dragon Breath,Dragon Pulse,40,2.422837471647726,2.771493818307131,2.4641105310234144,2.3646913847068056,2.4010825281443875,2.401830278267137,2.4182439467387504,2.316853380146736,2.3828194085393966,2.347583197406494,2.259972833714167,2.333556850882409,2.3870646254437493,2.1587548580117875,2.5207293083591904,2.4353237546523867
Shadow Flygon,Dragon Tail,Dragon Claw,40,1.5172147015035566,1.3176170372747413,1.41188238951021,1.3098493118047503,1.3447088920109918,1.3611150476811469,1.4470340749254593,1.4502939924650469,1.4346740661553485,1.300959665559681,1.3243260542794544,1.2022193613337206,1.382061361143645,1.2865383340704453,1.3990429145420964,1.3723591785039388
Hydreigon,Dragon Breath,Dragon Pulse,40,1.3485705215824983,1.4005825128254197,1.447722251473303,1.306484978337001,1.3659501730289834,1.3178403791420839,1.3369273324854951,1.3438437267503178,1.3914137753932496,1.3768271048166436,1.2454830652084483,1.3975794728721107,1.3954320006620553,1.2126133522578562,1.3347205547749423,1.38756875810527
Zekrom,Dragon Breath,Outrage,40,1.140327669426145,1.1747711180615463,1.145496786962617,1.1282210646375253,1.218562948895637,1.1635365952881904,1.124752477442722,1.1472205865238272,1.2239578767597252,1.1612336292258485,1.0427000112540037,1.0914084504736563,1.1750366258107023,1.0386175007215812,1.157659879629806,1.2126712112289666
Druddigon,Dragon Tail,Dragon Claw,40,1.5099120859371369,1.562281658143507,1.50184408680593,1.4620412523999877,1.5417973772753948,1.527031102648482,1.5234013022648625,1.569001541162551,1.5788751547001376,1.520281977929738,1.5650585542560482,1.4405026578398181,1.5884398655617302,1.4889399960489276,1.5302047997811041,1.56986792612802
Latios,Dragon Breath,Dragon Claw,40,1.1751949042446115,1.17726919173413,1.136893585978089,1.1879301958811193,1.306074422887527,1.292528293911297,1.237331208417363,1.266248477866549,1.3122306268988135,1.2924847894061477,1.1604783658498883,1.1853793963959458,1.3136041871999662,1.101813911631143,1.1974783487281733,1.3350147988834697
Garchomp,Dragon Tail,Outrage,40,1.1522985041198006,1.1142834139378506,1.1641598842925927,1.2146957673634302,1.1919798674432742,1.1711754517150061,1.1529394079679025,1.1723391026659782,1.2034042776052096,1.159615406285009,1.0521969859523668,1.0705713094824372,1.191261042005651,1.0058530321075663,1.1717364415323144,1.1986907180316735
Arceus (Dragon),Shadow Claw,Outrage,40,1.4981088700227452,,,,,,,,,,,,,,,
Mega Salamence,Dragon Tail,Outrage,40,0.9756504371770507,0.982141421208105,0.9973966848305305,0.9908038866430161,1.0118625856546835,0.9719589180373474,0.9794345204837995,0.9870938337776569,1.0067195530847404,0.9660665425055466,0.9284886408125199,0.9603139293239199,1.0074259352438988,0.8660253656240838,0.9744133831380802,1.0178920876451834
Dragonite,Dragon Tail,Outrage or Dragon Claw,40,1.1531058468338249,1.153163856452332,1.144305355908119,1.2137772892882073,1.2205823714682307,1.1930832658296187,1.1773264991920707,1.1781966410926972,1.203081758696733,1.1989249836067388,1.0978167328500161,1.1491519684691338,1.2214199994140726,1.0477523536673097,1.1976029129272923,1.2058437675280453
Mega Ampharos,Volt Switch or Charge Beam,Dragon Pulse,40,1.3925893714702182,1.4219619644112227,1.4288521495315245,1.394402574080324,1.4761895199068322,1.42234039966792,1.4246055247815221,1.426002794670482,1.4133873578929828,1.4891021632778692,1.3522816489236182,1.402514672761806,1.4799663070341018,1.2513377166789537,1.4466185440073382,1.4454505901346397
Palkia,Dragon Tail,Draco Meteor,40,1.1239312383695281,1.0555980744362763,1.002430363044678,1.1323035952178342,1.1847073529214105,1.1434001522840531,1.1208719339041162,1.1857807817553914,1.211533789660594,1.1816394091427842,1.0368981806919129,1.1256015659395164,1.1567129748925817,1.0533162995340555,1.2337451906309957,1.1816465317580898
Mega Charizard X,Dragon Breath,Dragon Claw,40,1.1771999626108973,1.0996794137954942,1.0836827942323917,1.1643801838610388,1.3036242660664215,1.19682164403577,1.2357110043331967,1.200286845202433,1.3121516082318936,1.2009982344502232,1.09394083680491,1.2083521350881063,1.2313559066510678,1.0951885891479702,1.2059270489790288,1.3057573254477415
Mega Altaria,Dragon Breath,Dragon Pulse,40,1.537172083345187,1.5100475251440821,1.509393639898756,1.3488297125213575,1.583256181197227,1.5020354739967834,1.5175366760851172,1.5445534408478794,1.5316252140024966,1.4730986436442086,1.4240287880852007,1.5269457552058263,1.595505690659825,1.3554075317029786,1.575816064834387,1.6172413136326507
Giratina (Origin),Shadow Claw or Dragon Tail,Dragon Pulse,40,1.3652329661705387,1.2753217404785617,1.252528828525936,1.2020995503265401,1.4696338416282089,1.429772232683155,1.3856815605893713,1.3704112563445252,1.4666952940982723,1.3624897474162698,1.3241132026658802,1.3250934604535265,1.4323624829380712,1.216905176050409,1.3838291268058611,1.444170588604133
Exeggutor (Alola),Dragon Tail,Dragon Pulse,40,1.4791759857198916,1.5888110937291997,1.5298750182378724,1.545944528027626,1.5026225928335877,1.4599715735675287,1.4728937080847908,1.491198334176736,1.5370643578145267,1.5237474451322441,1.5303916374154922,1.370546136034104,1.6452242530334042,1.4566624265838766,1.4985571051943987,1.5365861224530502
Mega Garchomp,Dragon Tail,Outrage,40,0.8872102626765089,0.8773323885506595,0.923868484321773,0.8982913761992958,0.907072564647692,0.8811032548623883,0.8888979792013649,0.914187137282908,0.9488116564245858,0.8702992064218488,0.8256428586850623,0.8332448891747781,0.9228652728294116,0.7940390994083601,0.8978885314141085,0.9305629274413485
Shadow Dragonite,Dragon Tail,Outrage or Dragon Claw,40,1.0,1.077874989698884,0.9999999999999999,1.008517929469735,1.030824222002076,0.9999999999999999,1.0,1.010502143582098,1.0543999281518297,1.0155489365285746,1.0,0.9999999999999999,1.024724854678235,1.0334828247475842,1.036460483835698,1.0296302121880263
Noivern,Bite or Air Slash,Draco Meteor,40,1.9631730885159913,2.831436006272662,2.302568932814849,2.720919193479466,1.8781389982371626,1.7850849880639843,1.7501579940651344,1.6532412278182562,2.3416836714496916,2.2417016096334055,2.0082554517431572,2.0798855381734196,2.0815879360535052,1.963999865812643,1.8765971142103883,2.149609672462924
Shadow Rayquaza,Dragon Tail,Outrage,40,1.046170394062177,1.142070147218484,1.1227576932104364,1.0368602368654036,0.9831400115589842,0.9804743216097311,1.028808042753735,0.9731992439415469,0.9849111681863993,0.9748947361866142,1.022834497552684,0.9729069904189338,0.9856059655111138,0.9672740049108035,0.9750246762261578,0.9710778167492008
Dialga,Metal Claw or Dragon Breath,Draco Meteor,40,1.1229107145518118,1.0,1.181757813738986,1.0,1.217350283347973,1.1539040282508384,1.1020709948970089,1.133795874075973,1.242791221634728,1.1305709164470519,1.0585443681927846,1.1555696399658248,1.2296829662127298,1.0519838255616218,1.1464423285027512,1.2263997915770133
Reshiram,Dragon Breath,Draco Meteor,40,1.145102817774635,1.0621395763661976,1.065254410393367,1.225381661718633,1.2697854314102355,1.203560438281544,1.1339070429080487,1.190402401521747,1.3974445107394295,1.230700728143488,1.0550489873976177,1.1877129174959902,1.1940875003501665,1.0529126030289067,1.147483294065931,1.2839327820603452
Salamence,Dragon Tail,Outrage or Draco Meteor,40,1.1260285502826988,1.3010919257868419,1.1657495924231949,1.1974160157311593,1.1769136562838733,1.1276909698448991,1.1270564060540593,1.131948689347694,1.1818340738925293,1.1539630177517717,1.1050529234328417,1.1077785321656415,1.1713893344527258,1.1035687516540456,1.1618027045726993,1.1718913495624141
Flygon,Dragon Tail,Dragon Claw,40,1.5652854373509009,1.596415326423462,1.5468355419661377,1.5330513537789994,1.612966355343632,1.5568140053501545,1.5368411740604162,1.6410500991718358,1.6266352133161335,1.5261797958715273,1.5736009448777373,1.4422669643403607,1.6111222071416003,1.4968649911506031,1.6843463351234482,1.6464238899336403
Latias,Dragon Breath,Outrage,40,1.3330782023789045,1.3898908154076444,1.3820783943059776,1.2372115046455086,1.4477131474355576,1.459015656060095,1.3742855901253488,1.3830289377746086,1.4450159474501827,1.426471454573023,1.2987573975011526,1.2917332286191108,1.4335263187269893,1.2101557140558177,1.3199775273086933,1.4255400959419406
Kyurem (Black),Dragon Tail,Outrage,40,0.9861307200698654,0.9001911078520235,0.9437579279239274,0.9489285156479103,1.0280723614562421,0.9948397307989629,0.9894734181526001,0.9949205922260715,1.0330679567695777,1.0295988558620661,0.9155839385305938,0.9611622328146329,1.0348827300454821,0.8702361908163663,0.9856809483386019,1.0167664936134675
Shadow Salamence,Dragon Tail,Outrage,40,1.2179800040550017,1.2166108447254569,1.1593741650226148,1.0867992126686274,1.0372632035569835,1.0423719303128223,1.1181349073320244,1.0451195922526888,1.0265837719082451,1.1016172641549904,1.10282261492984,1.0519198807347816,1.037522931895345,1.0214493952412431,1.0242156929808723,1.0294728196585032
Goodra,Dragon Breath,Draco Meteor,40,1.4655950263462223,1.3604223110668003,1.3141751977619751,1.2638687450198305,1.4497911819127456,1.4519564196359998,1.4628966258533809,1.4706698393767523,1.5869029909562753,1.5114630755754543,1.3152002324171477,1.42560913328826,1.4936562663121449,1.2719829601504065,1.5051536250671431,1.5743560894381015
Giratina,Shadow Claw or Dragon Breath,Dragon Claw,40,1.5318980975358867,1.4062791610182108,1.4276071276777955,1.439622621039201,1.6243600457615606,1.564750699913928,1.5260562943097304,1.5504615678847522,1.6380507767304806,1.556479850374055,1.5200951794459474,1.632249452766621,1.7059258540908107,1.3192438769320427,1.5382816465171252,1.7691834484048548
